"Input","Target"
" what is a film written by Sandra Harmon","	Elvis and Me"
" what is a film written by Julian Schnabel","	Before Night Falls, Basquiat"
" what film did James Robert Johnston write","	In the Blood"
" which film did Judd Apatow write the story for","	The 40-Year-Old Virgin, Knocked Up, Pineapple Express, You Don't Mess with the Zohan, Fun with Dick and Jane, Funny People, This Is 40, Celtic Pride"
" which movies was Jay Duplass a writer on","	Jeff, Who Lives at Home, Cyrus, The Puffy Chair, Baghead, The Do-Deca-Pentathlon"
" what films did Peter Myers write","	Summer Holiday"
" which movies was Daniel P. Mannix the writer of","	The Fox and the Hound"
" which film did John Flynn write","	The Outfit"
" what movies was Erika Holzer the writer of","	Eye for an Eye"
" which movies was Deborah Schwartz a writer on","	Soul Surfer"
" what is a movie written by Robert Favreau","	A Sunday in Kigali"
" what films did Chandran Rutnam write","	A Common Man"
" what film did Gavin Wiesen write","	The Art of Getting By"
" what film did Herbert J. Biberman write","	Together Again"
" what films was Haruhiko Ôyabu a writer on","	Youth of the Beast"
" which film did Jeff Lowell write","	John Tucker Must Die, Over Her Dead Body, Hotel for Dogs"
" which film did Väinö Linna write","	The Unknown Soldier"
" which film did Anthony McCarten write the story for","	The Theory of Everything"
" what films did Frank Telford write","	Hello Down There"
" which movies was Takeo Kunihiro the writer of","	Samurai Banners"
" what movies was Vyacheslav Leykin the writer of","	Window to Paris"
" which film did Gwen Bagni write","	With Six You Get Eggroll, The Last Wagon, Law and Order"
" which movie did Matt Roe write","	The Minion"
" which movie did Peter Sellers write","	The Magic Christian"
" what is a movie written by Bibi Naceri","	Brick Mansions"
" which movies was Jeff Buhai the writer of","	Revenge of the Nerds, In the Army Now, Eddie, Johnny Be Good"
" which film did Kikumaru Okuda write","	None But the Brave"
" what movies was Robert Vernay the writer of","	The Count of Monte Cristo"
" what movies did Wallace Markfield write","	Bye Bye Braverman"
" which film did Isaac Asimov write","	I, Robot, Bicentennial Man, Gandahar"
" what is a film written by Piti Español","	Winning Streak"
" what film did Achmed Abdullah write","	The Lives of a Bengal Lancer, The Hatchet Man"
" what movie did Chester Himes write the story for","	A Rage in Harlem, Cotton Comes to Harlem"
" which movies was Neeraj Shridhar the writer of","	De Dana Dan"
" which film did Bob McAndrew write the story for","	Shadow Magic"
" what is a movie written by Martín Mauregui","	Carancho, White Elephant, 7 Days in Havana, Lion's Den"
" which film did Arthur Carter write","	Operation Mad Ball"
" which movies was Garth Belcon a writer on","	Whiteboyz"
" what films was Roy Knyrim a writer on","	Death Racers"
" what movies did Shawn Rasmussen write","	The Ward"
" which movie did Jeremy Seifert write","	Dive!"
" what is a movie written by Keith Kjornes","	The Devil's Tomb"
" what is a movie written by Leiji Matsumoto","	Space Battleship Yamato"
" which film did Lolita Ray write the story for","	Beyond"
" what films did Pierre Laroche write","	Les Visiteurs du Soir, Gigi"
" which film did Jon Katz write the story for","	A Dog Year"
" what movies did Rachel Field write","	All This, and Heaven Too"
" what films was Mika Kemmo a writer on","	Ponterosa"
" what films was Anthony Russo a writer on","	Welcome to Collinwood"
" which movie did Georges Tabet write","	The Sucker"
" what is a movie written by Sean O'Casey","	Young Cassidy, The Plough and the Stars"
" what films did Atalanta Goulandris write","	Tube Tales"
" what movies did Stan Foster write","	Hangman's Curse, Woman Thou Art Loosed"
" which film did Deborah Curtis write","	Control"
" what films did Dominique Abel write","	The Fairy"
" which movies was Eça de Queirós a writer on","	Eccentricities of a Blonde-haired Girl"
" what movies was Shelby McIntyre the writer of","	Bloody Bloody Bible Camp"
" what movies did Travis Beacham write","	Pacific Rim, Clash of the Titans"
" which movie did Shûgorô Yamamoto write","	Sanjuro, Red Beard, Dodes'ka-den, After the Rain, Kill!"
" what films did Liev Schreiber write","	Everything Is Illuminated"
" what movies was Noelle Gilmour the writer of","	Elvira Madigan"
" what is a film written by Sean Hood","	Conan the Barbarian, The Legend of Hercules, Midnight Movie"
" which film did Kali Rocha write the story for","	Space Station 76"
" what film did Raymond Chandler write","	Double Indemnity, Strangers on a Train, The Big Sleep, The Long Goodbye, Murder, My Sweet, The Blue Dahlia, Farewell, My Lovely, Lady in the Lake, Marlowe, The Brasher Doubloon"
" which movies was Justin Kerrigan a writer on","	Human Traffic"
" what films did Jennifer A. Jones write","	Delgo"
" what movies was Timothy Dowling the writer of","	Role Models, Just Go with It, This Means War"
" what movie did Quentin Dupieux write the story for","	Rubber, Wrong, Wrong Cops"
" which film did Ronald Millar write the story for","	Scaramouche, Betrayed"
" which movies was Jamie Delano the writer of","	Constantine"
" which movies was Bruce Lee the writer of","	Circle of Iron"
" what films was Jon Else a writer on","	The Rape of Europa"
" what film did Beverley Cross write","	Clash of the Titans, Wrath of the Titans, Jason and the Argonauts, Sinbad and the Eye of the Tiger, The Long Ships, Genghis Khan"
" what is a movie written by Winifred Dunn","	Sparrows"
" what movies was Jerry Sherlock the writer of","	Charlie Chan and the Curse of the Dragon Queen"
" which film did Kathryn Hulme write the story for","	The Nun's Story"
" what films was Kevin Heffernan a writer on","	Super Troopers, Beerfest, Club Dread, The Slammin' Salmon, Divine Trash"
" what movie did Bertita Harding write the story for","	Juarez"
" what films did Jean Kerr write","	Please Don't Eat the Daisies"
" what movie did Nina Paley write the story for","	Sita Sings the Blues"
" what is a movie written by Stephen Susco","	The Grudge, The Grudge 2, Texas Chainsaw 3D, Red, High School"
" what film did Thomas Mimms write","	Miss March"
" which movies was Richard Kurti a writer on","	The Lost Future"
" which movies was Bernard Revon a writer on","	Stolen Kisses"
" which film did Stefan Wul write the story for","	Fantastic Planet"
" which movies was Rita Augustine a writer on","	The King of Fighters"
" what is a film written by Scott Thurman","	The Revisionaries"
" what film did Einar Guðmundsson write","	Angels of the Universe, Children of Nature"
" which movie did Della Gould Emmons write","	The Far Horizons"
" what films did Candy Leung write","	Unbeatable"
" what is a movie written by Chuck Hogan","	The Town"
" which movies was Teru Miyamoto a writer on","	Maborosi"
" what film did John Benjamin Martin write","	Devil's Diary"
" what movies was Joanna Johnson the writer of","	The Shrink Is In"
" what films was Richard Beattie a writer on","	Maximum Conviction, Force of Execution"
" which movies was Lisa-Maria Radano a writer on","	Mrs. Winterbourne"
" what is a movie written by Timothy Wayne Folsome","	Uninvited Guest"
" what is a film written by Nino Latino","	Naked Violence"
" which movies was Norman Aladjem the writer of","	Firewalker"
" what is a movie written by Meir Zarchi","	I Spit on Your Grave"
" which movie did Timur Bekmambetov write","	Night Watch, Day Watch"
" what movie did Eric Mendelsohn write the story for","	Judy Berlin, 3 Backyards"
" what is a movie written by Jules Stewart","	K-11"
" what is a movie written by Malcolm MacRury","	The Man Without a Face"
" which movie did William Norris write","	Re-Animator"
" what is a movie written by Kevin McClory","	Thunderball, Never Say Never Again"
" what movies was Albert Kenyon the writer of","	The Monster"
" which movies was Melissa Stack the writer of","	The Other Woman"
" which movie did H.E. Barrie write","	Missile to the Moon"
" what movies did Joe Haldeman write","	Robot Jox"
" what movie did Dennis Palumbo write the story for","	My Favorite Year"
" what is a film written by Catherine de Pury","	Dream Demon"
" which movie did Steven Nalevansky write","	Blood Beach"
" which film did Vítezslav Nezval write","	Valerie and Her Week of Wonders"
" what movies did Doris Lessing write","	Adore"
" which movie did Michael Lucker write","	Vampire in Brooklyn, Mulan II"
" what movie did Hannah Fidell write the story for","	A Teacher"
" what film did Bill Condon write","	Chicago, Dreamgirls, Kinsey, Gods and Monsters, F/X2, Strange Invaders, Strange Behavior"
" what movie did Byron Simpson write the story for","	The Rescuers Down Under"
" what films did Cooper Layne write","	The Core, The Fog"
" what is a movie written by Ken Selden","	Cherry Falls"
" what is a movie written by David T. Chantler","	She, Face of a Fugitive"
" what films did Edgar Selwyn write","	Possessed"
" what film did Clive Exton write","	Red Sonja, 10 Rillington Place, Isadora, The Awakening, Doomwatch"
" what movie did Viktor Pelevin write the story for","	Generation P"
" which film did Laurence Merrick write","	Manson"
" which film did Travis Fine write","	Any Day Now"
" what films did Margaret Landon write","	The King and I, Anna and the King of Siam"
" what movies did Tom Doganoglu write","	Freezer"
" which movies was Coco Moodysson a writer on","	We Are the Best!"
" which movie did Stephen Koepp write","	The Paper"
" what is a film written by Michael Gottlieb","	Mannequin"
" what movie did Neil LaBute write the story for","	The Wicker Man, Possession, In the Company of Men, The Shape of Things"
" what movies did Anthony Paul Kelly write","	British Intelligence"
" what films did Paul Rudnick write","	Addams Family Values, The Stepford Wives, Jeffrey, Marci X, Isn't She Great"
" which film did Virginia Woolf write","	Orlando, Mrs Dalloway"
" which movie did Luis Fernando de Igoa write","	Death of a Cyclist"
" what movie did Ritesh Shah write the story for","	Kahaani, D-Day, Aladin"
" what is a movie written by Carlos Brooks","	Quid Pro Quo"
" which movies was James McManus the writer of","	Essential Killing, La Cucaracha"
" what movie did W.R. McKinney write the story for","	Teachers"
" what films was Matt K. Turner a writer on","	Family Weekend"
" what is a film written by Ben Hopkins","	The Nine Lives of Tomas Katz, Simon Magus"
" which film did Hiroshi Sakurazaka write the story for","	Edge of Tomorrow"
" which movies was Rory McHenry the writer of","	Jackboots on Whitehall"
" what films did Feride Çiçekoglu write","	Journey of Hope"
" what movie did Joe Chappelle write the story for","	Already Dead"
" what film did Sean Clark write","	The Black Waters of Echo's Pond"
" which movies was Shohei Ooka a writer on","	Fires on the Plain"
" which movie did Julie Peyr write","	Cold Showers"
" what is a movie written by Anne Holm","	I Am David"
" which movies was Jacob Berger a writer on","	A Loving Father"
" what films did Mark Fergus write","	Iron Man, Children of Men, First Snow"
" what is a film written by Howard Teichmann","	The Solid Gold Cadillac, Lonelyhearts"
" what is a movie written by Marko Mäkilaakso","	War of the Dead"
" what movies was Ted V. Mikels the writer of","	The Doll Squad"
" what film did Jake Kasdan write","	Zero Effect"
" which movies was Anthony Horowitz the writer of","	The Gathering"
" what movies did Eran Riklis write","	Lemon Tree, The Syrian Bride"
" what is a movie written by Patrick Braoudé","	Nine Months"
" what film did David Leavitt write","	Food of Love"
" what movie did Paul Dubov write the story for","	With Six You Get Eggroll"
" which film did Ennio Flaiano write the story for","	8½, La Dolce Vita, La Strada, La Notte, I Vitelloni, Juliet of the Spirits, The White Sheik, Sweet Charity, Il Bidone, Boccaccio '70, The 10th Victim"
" what movies was Jim Byrnes the writer of","	The Shadow Riders"
" what movie did Nikolaus Geyrhalter write the story for","	Our Daily Bread"
" what movie did Trey Ellis write the story for","	The Tuskegee Airmen, The Inkwell"
" what films did Sean Branney write","	The Call of Cthulhu, The Whisperer in Darkness"
" which movies was Michael Francis Gibson a writer on","	The Mill and the Cross"
" which movies was Günter Grass a writer on","	The Tin Drum"
" which movies was John Soutar the writer of","	The Last Journey"
" what movies did Brian Goodman write","	What Doesn't Kill You"
" which film did Michael Boston write the story for","	Little Boy Blue"
" what movie did Karl Schanzer write the story for","	Camouflage"
" what films was Rudolf Leonhardt a writer on","	Diary of a Lost Girl"
" what film did Mohsin Hamid write","	The Reluctant Fundamentalist"
" which movie did Cory Knauf write","	The Thompsons"
" what is a movie written by Bobcat Goldthwait","	God Bless America, World's Greatest Dad, Willow Creek, Shakes the Clown, Sleeping Dogs Lie"
" what film did Lucy Mukerjee-Brown write","	51"
" what is a film written by Takeshi Kimura","	Godzilla vs. Megalon, Destroy All Monsters, Godzilla vs. Gigan, Matango, The War of the Gargantuas, King Kong Escapes, Frankenstein Conquers the World"
" what is a film written by Olatunde Osunsanmi","	The Fourth Kind"
" what film did Michael Jenning write","	Next of Kin"
" which film did Paul Zimmerman write the story for","	A Modern Affair"
" what film did Jim Emerson write","	It's Pat"
" what films did Gabriel Byrne write","	The Last of the High Kings"
" what movie did Melchior Lengyel write the story for","	To Be or Not to Be, Ninotchka, Silk Stockings, Angel, Days of Glory, A Royal Scandal, The Rise of Catherine the Great"
" what is a film written by Jonathan Kesselman","	The Hebrew Hammer"
" which movie did Arnold Horwitt write","	Always Leave Them Laughing"
" which movies was Kim Bass a writer on","	A Thin Line Between Love and Hate"
" which movies was Donald Bevan a writer on","	Stalag 17"
" what is a movie written by Matt Orlando","	A Resurrection"
" which film did Marc Forster write the story for","	Everything Put Together"
" what film did Sergei Popov write","	The Asthenic Syndrome"
" which movies was Madonna the writer of","	W.E., Filth and Wisdom"
" what movies was Theresa Cullen the writer of","	Shrek the Halls, Cats Don't Dance"
" which movie did Franz Seitz write","	The Tin Drum"
" which movies was Mitchell Lichtenstein a writer on","	Teeth, Happy Tears"
" what movies was Pablo Proenza the writer of","	Dark Mirror"
" what films did Vladimir Vasiliev write","	Day Watch"
" what movie did Marc Stirdivant write the story for","	Condorman"
" what movies did Alfonso Cuarón write","	Gravity, Children of Men, Y Tu Mamá También, Paris, je t'aime"
" what movie did Steven Brill write the story for","	Little Nicky, The Mighty Ducks, Walk of Shame, Ready to Rumble"
" what movies was Sakae Tsuboi the writer of","	Twenty-Four Eyes"
" which movies was Jacob Potashnik the writer of","	Stardom"
" what films did Mel Barr write","	Murder, Inc."
" what movies was Lowell Dean the writer of","	WolfCop"
" what is a film written by Brian Godawa","	To End All Wars"
" what is a movie written by Abhijeet Deshpande","	Table No. 21"
" which movie did Derek Harvie write","	Freddy Got Fingered"
" which film did Damian Lee write","	A Dark Truth, Watchers, Copper Mountain, Agent Red"
" which movies was T. Rafael Cimino the writer of","	Table No. 21"
" what movie did Grant Cogswell write the story for","	Cthulhu"
" what film did Shaun Tan write","	The Lost Thing"
" which film did James Merendino write","	SLC Punk!"
" which movies was Mark Wallace a writer on","	Muhammad Ali's Greatest Fight"
" what films did Liam Redmond write","	I See a Dark Stranger"
" what film did Duncan Kennedy write","	Deep Blue Sea"
" which film did Barbara Loden write","	Wanda"
" what movies did Richard Phillips write","	Captain Phillips"
" what is a movie written by Shion Sono","	Himizu"
" what movie did John Corcoran write the story for","	American Samurai"
" which film did Elana Lesser write","	Balto, Mean Girls 2, Cats Don't Dance, Beethoven's 5th"
" which movies was William Goldman the writer of","	The Princess Bride, Butch Cassidy and the Sundance Kid, Misery, Maverick, Dreamcatcher, All the President's Men, The Ghost and the Darkness, Marathon Man, The General's Daughter, Chaplin, A Bridge Too Far, Absolute Power, Hearts in Atlantis, Wild Card, Memoirs of an Invisible Man, The Stepford Wives, The Chamber, Magic, Harper, The Great Waldo Pepper, The Hot Rock, No Way to Treat a Lady, Year of the Comet, Soldier in the Rain"
" what movie did Ric Gibbs write the story for","	Shadow Conspiracy"
" which movies was Adam Fields the writer of","	Brokedown Palace, One-Eyed Monster"
" what films did Brandon Rice write","	Grace Unplugged, No Greater Love"
" what movie did Neil Abramson write the story for","	American Son"
" what movie did Doug Miro write the story for","	The Sorcerer's Apprentice, The Great Raid"
" what movie did Antonio Pennacchi write the story for","	My Brother Is an Only Child"
" what films was Carl Fallberg a writer on","	Bambi, Fantasia"
" what films did Jeff Stein write","	The Perfect Holiday"
" what films was Jason Katims a writer on","	The Vow, The Pallbearer"
" what is a movie written by Ronald M. Cohen","	Twilight's Last Gleaming, Last Stand at Saber River, The Good Guys and the Bad Guys, Aces 'N' Eights, Blue"
" what film did Praful Parekh write","	Ishq"
" which film did Jonathan Hales write the story for","	The Scorpion King, The Mirror Crack'd"
" what is a movie written by Bernie Kukoff","	Johnny Dangerously"
" what film did Durward Grimstead write","	Maid of Salem"
" which movies was Colin Higgins a writer on","	Harold and Maude, Silver Streak, Foul Play, The Best Little Whorehouse in Texas"
" what film did Iris Yamashita write","	Letters from Iwo Jima"
" what movies was Kevin Hageman the writer of","	The Lego Movie, Hotel Transylvania"
" what movies was Camilla Costanzo the writer of","	Private"
" what movies was Adrian Russell Wills the writer of","	Bran Nue Dae"
" which movie did Vy Russell write","	Monstrosity, Indestructible Man"
" what films did Peter Byck write","	Carbon Nation"
" which film did Dany Boon write","	Nothing to Declare, Supercondriaque"
" what is a film written by Joe Nelms","	Shriek If You Know What I Did Last Friday the Thirteenth"
" which movie did Samuel Richardson write","	Jane Austen in Manhattan"
" what films was R.C. Sherriff a writer on","	The Invisible Man, Goodbye, Mr. Chips, The Dam Busters, Odd Man Out, The Four Feathers, That Hamilton Woman, No Highway in the Sky, Aces High, This Above All, Quartet, Trio"
" which movies was Kristina Buozyte a writer on","	Vanishing Waves"
" what is a film written by Erskine Childers","	The Riddle of the Sands"
" what movie did Kevin Tenney write the story for","	Witchboard, Endangered Species"
" which movies was Patrick Doughtie the writer of","	Letters to God"
" what movies was Frank Pierson the writer of","	Dog Day Afternoon, Cool Hand Luke, Presumed Innocent, Cat Ballou, The Anderson Tapes, A Star Is Born, In Country"
" what movie did Cheri Caffaro write the story for","	H.O.T.S."
" which film did Edward Palmer write the story for","	Warning from Space"
" what film did Kat Candler write","	Hellion"
" what movies did Robert Eisele write","	The Great Debaters"
" what movies was Shonda Rhimes the writer of","	Crossroads, Introducing Dorothy Dandridge"
" what movies was Jennifer Salt the writer of","	Eat Pray Love"
" what movie did Hélène Cattet write the story for","	The ABCs of Death, Amer"
" what is a movie written by David Zabel","	Keith"
" what is a film written by Ron Koslow","	Into the Night, Last Dance, Firstborn, Lifeguard"
" what film did André-Paul Antoine write","	French Cancan"
" what film did Reginald Purdell write","	The Dark Tower"
" what movies did James Gibson write","	Never Die Alone"
" which movies was Bob Fisher the writer of","	We're the Millers, Wedding Crashers"
" what is a movie written by Doris Pilkington","	Rabbit-Proof Fence"
" what movies did Ayad Akhtar write","	The War Within"
" which movie did Brad Riddell write","	Crooked Arrows"
" what films did Greg Michael write","	Baby Geniuses"
" which movies was Tetsurô Yoshida the writer of","	Zatoichi Meets Yojimbo, Fight, Zatoichi"
" which film did Zbigniew Rybczynski write","	Angst"
" what is a film written by Suzette Couture","	Child of Rage, The Sex and Violence Family Hour"
" what film did Nikki Reed write","	Thirteen"
" what movie did Mark Reisman write the story for","	Summer Rental"
" what movies did Fyodor Dostoevsky write","	The Double, Saawariya, The Brothers Karamazov, A Gentle Woman, Crime and Punishment, Four Nights of a Dreamer, The Idiot Returns, The Gambler"
" what movies was Polly Draper the writer of","	The Tic Code"
" what movie did Earl Mills write the story for","	Introducing Dorothy Dandridge"
" what is a movie written by Robbie Pickering","	Natural Selection"
" which film did J.R. Ackerley write","	My Dog Tulip"
" what movie did Li Li write the story for","	Pax Americana and the Weaponization of Space"
" what movies did Guanzhong Luo write","	Red Cliff"
" which film did Chad J. Shonk write","	Dakota Skye"
" what films did Elio Bartolini write","	L'Avventura, L'Eclisse, Il Grido"
" what films did Hassan Fuad write","	The Land"
" what movies did Dan Wilson write","	Open Season"
" what films did Sylvia Anderson write","	Thunderbirds, Thunderbird 6"
" what is a movie written by Ivan Sen","	Mystery Road"
" what films did Neil Levy write","	Rude Awakening"
" what films was Tony Dreannan a writer on","	Full of It"
" what movies was Nicholas E. Baehr the writer of","	The Incident"
" what film did Gaëlle Macé write","	Leaving, A Common Thread"
" what film did Nick Damon write","	Hunter Prey"
" what is a film written by Henry Ephron","	Desk Set, Carousel, There's No Business Like Show Business, Daddy Long Legs, Captain Newman, M.D., Take Her, She's Mine, Belles on Their Toes, On the Riviera"
" what is a film written by Stephen MacLean","	Starstruck"
" what is a movie written by Stuart Townsend","	Battle in Seattle"
" what movie did Casey Robinson write the story for","	Now, Voyager, Captain Blood, Dark Victory, The Snows of Kilimanjaro, While the City Sleeps, All This, and Heaven Too, Kings Row, Passage to Marseille, The Egyptian, The Old Maid, The Corn Is Green, It's Love I'm After, Saratoga Trunk, Days of Glory, One Foot in Heaven, This Is the Army, Hearts Divided"
" which film did Denne Bart Petitclerc write","	Islands in the Stream"
" what is a movie written by John Furia","	Change of Habit, The Singing Nun"
" what is a movie written by Eric Driscoll","	Carbon Nation"
" which film did William Ivory write the story for","	Made in Dagenham"
" what is a movie written by Morgan J. Freeman","	Desert Blue, Hurricane Streets"
" which movies was Oscar Asche a writer on","	Chu Chin Chow"
" which movies was Bob Dylan the writer of","	Masked and Anonymous"
" which film did Andrew Markell write the story for","	Urban Menace"
" which movies was Arthur R. Dubs the writer of","	The Adventures of the Wilderness Family"
" what movie did E.V.H. Emmett write the story for","	Sabotage"
" which film did Matt Heath write the story for","	The Devil Dared Me To"
" what movie did Jacques Audiard write the story for","	A Prophet, Rust and Bone, The Beat That My Heart Skipped, Read My Lips, Deadly Circuit, Baxter, See How They Fall"
" what is a film written by Omar N. Bradley","	Patton"
" what is a movie written by Gary Drucker","	Domestic Disturbance, Red Heat"
" what movies did Ivan Passer write","	Born to Win, Intimate Lighting"
" which movie did Giorgio Prosperi write","	Senso, Sodom and Gomorrah, The Overcoat"
" which movies was François Boyer the writer of","	Forbidden Games, A Monkey in Winter"
" what is a movie written by Ida Lupino","	The Hitch-Hiker, Private Hell 36"
" what movie did Bill Weiner write the story for","	Tiptoes"
" which film did Florence Vignon write","	Mademoiselle Chambon"
" which movie did Dang Di Phan write","	Adrift"
" what films did Timothy Prager write","	Haunted, Quicksand"
" what movie did Michael Swaine write the story for","	Pirates of Silicon Valley"
" what films was James Handel a writer on","	The Last Horror Movie"
" what movies was Necati Cumali the writer of","	Dry Summer"
" what movies did Richard Maibaum write","	Goldfinger, Dr. No, Ransom, From Russia with Love, Thunderball, The Spy Who Loved Me, Octopussy, Diamonds Are Forever, Licence to Kill, The Man with the Golden Gun, For Your Eyes Only, The Living Daylights, A View to a Kill, On Her Majesty's Secret Service, Chitty Chitty Bang Bang, Bigger Than Life, The Cockleshell Heroes, Gold Diggers of 1937, The Day They Robbed the Bank of England, The Great Gatsby, They Gave Him a Gun"
" what movies was Robert A. Granger the writer of","	Gun Fury"
" what is a movie written by Ian Hubert","	Tears of Steel"
" which movies was Ira Wohl the writer of","	Best Boy"
" what film did John Crawford write","	The Ballad of Cable Hogue"
" which movies was William Whitehurst the writer of","	Mentor"
" what is a movie written by Dan Schoffer","	Not Cool"
" which movies was Gregg Kavet the writer of","	Live Free or Die"
" what films did Louis E. Heifetz write","	International House"
" which movies was Thierno Faty Sow the writer of","	Camp de Thiaroye"
" which film did Boris Strugatskiy write","	Stalker"
" which movie did Jean Poiret write","	The Birdcage, La Cage aux Folles"
" what film did Tung-Shing Yee write","	Shinjuku Incident"
" what films was Paul Simpkin a writer on","	Stiff Upper Lips"
" what films was John Luton a writer on","	Dead Man Running"
" which movies was C.L. Moore the writer of","	The Last Mimzy, The Twonky"
" what is a movie written by Lauran Paine","	Open Range"
" which movies was Michael Apted the writer of","	Bring on the Night"
" what is a movie written by Claude Anet","	Love in the Afternoon, Mayerling"
" which movies was Ib Melchior the writer of","	Death Race, Death Race 2000, Robinson Crusoe on Mars, Planet of the Vampires, Godzilla Raids Again, The Angry Red Planet"
" what is a film written by Elissa Down","	The Black Balloon"
" which movie did Barry W. Blaustein write","	Coming to America, The Nutty Professor, Boomerang, Beyond the Mat, The Honeymooners"
" what films was Billy Shebar a writer on","	Dark Matter"
" which film did Kaylie Jones write","	A Soldier's Daughter Never Cries"
" which movies was Paul Saltzman a writer on","	Prom Night in Mississippi"
" which movie did Christine Laurent write","	La Belle Noiseuse, The Story of Marie and Julien, The Duchess of Langeais"
" what films did Dorothy Baker write","	Young Man with a Horn"
" what movies did Molière write","	Tartuffe"
" what movies did Henri-Pierre Roché write","	Jules and Jim"
" which movies was Thomas Langmann the writer of","	Asterix at the Olympic Games"
" what film did Doug Mahnke write","	Superman vs. The Elite"
" what movies was Cory Helms the writer of","	We Are Marshall"
" what films did Farhad Safinia write","	Apocalypto"
" which movies was Lawrence Blume a writer on","	Tiger Eyes"
" which movie did Melissa Carter write","	Little Black Book"
" which movie did Ruud van Megen write","	Character"
" which film did Lowell Brentano write","	I'm No Angel"
" what movie did Elizabeth Hackett write the story for","	Geek Charming"
" what films did René Féret write","	Mozart's Sister"
" what is a film written by Zalman King","	Wild Orchid, Two Moon Junction, In God's Hands, Roadie"
" what is a movie written by Giuseppe Mangione","	Anzio, In the Name of the Law"
" which movies was Marc Caro a writer on","	Delicatessen, The City of Lost Children, Dante 01"
" what films did Don Sipes write","	The Education of Little Tree"
" which movies was Stephen Jeffreys the writer of","	The Libertine, Diana"
" what is a movie written by Ian Hamilton","	Stone of Destiny"
" what films was Nick Evans a writer on","	The Horse Whisperer"
" what films was Chandler Sprague a writer on","	Always, A Guy Named Joe"
" what movies was Boyce DeGaw the writer of","	If I Had a Million, The Girl of the Golden West"
" what is a movie written by Josh Appelbaum","	Teenage Mutant Ninja Turtles"
" what films was Edmundo Desnoes a writer on","	Memories of Underdevelopment"
" what is a movie written by Peter Gould","	Too Big to Fail, Double Dragon"
" which movie did Stan Lee write","	Iron Man, Spider-Man, Iron Man 3, Thor, Iron Man 2, The Amazing Spider-Man, Spider-Man 2, Spider-Man 3, The Amazing Spider-Man 2, Fantastic Four, Hulk, The Incredible Hulk Returns"
" what is a film written by Richard Chizmar","	The Poker Club"
" which film did Adriana Maggs write","	Grown Up Movie Star"
" which movie did Irvin Kershner write","	Stakeout on Dope Street"
" what movies did David Harper write","	Skyjacked"
" what movies was Jason Mantzoukas the writer of","	Ride Along"
" which film did Esta Spalding write","	Falling Angels"
" what movies did Bernardo Fernández write","	The Scarlet Letter"
" which movies was Alex Gottlieb a writer on","	Frankie and Johnny, Susan Slept Here, Arizona Raiders"
" what film did Matthew Weiner write","	Are You Here"
" which movie did Tai-Mok Lau write","	Iron Monkey, The Master"
" what films did Marc Brandel write","	The Hand, Double Trouble"
" which film did Griff Rhys Jones write","	Morons from Outer Space"
" what movies did Tracy Keenan Wynn write","	The Longest Yard, Mean Machine, Robinson Crusoe, The Deep, The Drowning Pool, The Autobiography of Miss Jane Pittman, Tribes"
" what movies did Giuseppe Pedersoli write","	Speaking of the Devil"
" which film did Mayo Simon write the story for","	Futureworld, Phase IV, Marooned"
" which movie did David Shaw write","	A Foreign Affair, If It's Tuesday, This Must Be Belgium"
" what is a film written by Ivo Caprino","	The Pinchcliffe Grand Prix"
" what movies was Selton Mello the writer of","	The Clown"
" what movie did Stan Daniels write the story for","	The Lonely Guy"
" which movies was Mark Horowitz the writer of","	Almost You"
" which film did Andrea Berloff write the story for","	World Trade Center"
" which movie did Achala Nagar write","	Baghban"
" what movies was Theodore J. Flicker the writer of","	The President's Analyst, Spinout"
" which film did Rik D'Hiet write","	Ben X"
" what film did Joe Swanberg write","	Drinking Buddies, Happy Christmas, Hannah Takes the Stairs, Nights and Weekends, LOL, All the Light in the Sky"
" which movie did Vittorio Schiraldi write","	Covert Action"
" which film did Ralph Sall write the story for","	Grind"
" which movie did Philip Austin write","	Zachariah"
" what is a movie written by Jérôme Salle","	The Tourist, Zulu, Anthony Zimmer"
" which film did Mari Hatta write the story for","	Picture Bride"
" what films was Gary Gerani a writer on","	Pumpkinhead"
" what films did Brian McEntee write","	The Brave Little Toaster, Cats Don't Dance"
" what film did Kaizan Nakazato write","	The Sword of Doom"
" which movie did José Luis Dibildos write","	La colmena"
" which movies was Douglas Morrow a writer on","	Beyond a Reasonable Doubt, The Stratton Story"
" what films was Jeremy Saulnier a writer on","	Blue Ruin, Murder Party"
" which film did Peter Dalle write","	Illusive Tracks, Drömkåken"
" what movies did Jason Robert Brown write","	The Last Five Years"
" what is a movie written by Chris Hauty","	Never Back Down"
" which movie did Evgeniy Evtushenko write","	I Am Cuba"
" which movies was Dan Bush the writer of","	The Signal"
" what film did Rémo Forlani write","	Toute la mémoire du monde"
" which movies was William Murray a writer on","	The Sweet Ride"
" what is a film written by Dalene Young","	The Baby-Sitters Club, Little Darlings, Cross Creek"
" what movie did Henry Bromell write the story for","	Panic"
" which movies was Vardis Fisher a writer on","	Jeremiah Johnson"
" what is a movie written by Kevin Power","	What Richard Did"
" what movies did Akif Pirinçci write","	Felidae"
" what films did Saul Bellow write","	Seize the Day"
" what films was Vipul Amrutlal Shah a writer on","	Aankhen"
" which movies was Edward Mann the writer of","	Seizure"
" which film did Prayag Raj write the story for","	Amar Akbar Anthony"
